Date devis;N° devis;Client;Dossier;Montant HT Devis;Date commande;N° commande;Montant HT Commande;Date livraison;Date facturation;Nombre d'heures;P.R.Heures;P.R.Achats;P.R.Stock;Marge
25/04/2022;4987;AIA;;4758;26/02/2022;2044-69;3584;27/02/2022;28/02/2022;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
28/02/2022;4742;AIR CORSICA;;7963;;;0;;;0;0;0;0;0
01/03/2022;4743;HOP!;;1257;;;0;;;0;0;0;0;0
02/03/2022;4744;ASL Airlines France;;707;;;0;;;0;0;0;0;0
02/03/2022;4745;ROYAL AIR MAROC;;1175;;;0;;;0;0;0;0;0
02/03/2022;4746;ROYAL AIR MAROC;;1175;;;0;;;0;0;0;0;0
03/03/2022;4747;ROYAL AIR MAROC;;2365;;;0;;;0;0;0;0;0
04/03/2022;4748;HYDRO SYSTEMS KG;;67796;;;0;;;0;0;0;0;0
07/03/2022;4749;TARMAC AEROSAVE;;460;07/03/2022;2022-032;460;18/03/2022;22/03/2022;2.5;125;0;0;335
08/03/2022;4750;AIR CORSICA;;385;08/03/2022;2022-034;385;22/03/2022;23/03/2022;3.5;175;0;0;210
08/03/2022;4751;AIR CORSICA;;385;08/03/2022;2022-035;385;21/03/2022;23/03/2022;3;150;0;0;235
08/03/2022;4752;AIA Clermont-Ferrand;;0;21/03/2022;2022-038;3180;;;18;900;623;730.8;926.2
08/03/2022;4753;AIA Clermont-Ferrand;;15728;19/04/2022;2022-049;15728;;;0;0;0;0;15728
11/03/2022;4754;ROYAL AIR MAROC;;1350;;;0;;;0;0;0;0;0
14/03/2022;4755;ROYAL AIR MAROC;;825;;;0;;;0;0;0;0;0
14/03/2022;4756;ROYAL AIR MAROC;;1495;;;0;;;0;0;0;0;0
14/03/2022;4757;ROYAL AIR MAROC;;2750;;;0;;;0;0;0;0;0
14/03/2022;4758;HOP!;;2396;14/03/2022;2022-036;2396;;;3.5;175;610;0;1611
14/03/2022;4759;BABCOCK INTERNATIONAL GROUP;;0;14/03/2022;2022-037;0;;;1;50;0;0;-50
16/03/2022;4760;JET AVIATION FRANCE;;385;;;0;;;0;0;0;0;0
28/03/2022;4761;HYDRO SYSTEMS KG;;0;;;0;;;0;0;0;0;0
28/03/2022;4762;ROYAL AIR MAROC;;3021;;;0;;;0;0;0;0;0
29/03/2022;4763;ROYAL AIR MAROC;;0;;;0;;;0;0;0;0;0
29/03/2022;4764;AIA Clermont-Ferrand;;3180;08/04/2022;2022-047;3180;;;0;0;0;0;3180
29/03/2022;4765;AIA Clermont-Ferrand;;0;;;0;;;0;0;0;0;0
29/03/2022;4766;CORSAIR INTERNATIONAL;ASI;0;;;0;;;0;0;0;0;0
31/03/2022;4767;ROYAL AIR MAROC;ASI;3005;;;0;;;0;0;0;0;0
31/03/2022;4768;AIR CORSICA;;0;31/03/2022;2022-045;0;;;0;0;0;0;0
31/03/2022;4769;ROYAL AIR MAROC;;0;;;0;;;0;0;0;0;0
11/04/2022;4770;EMBRAER AVIATION INTERNATIONAL;;2475;;;0;;;0;0;0;0;0
12/04/2022;4771;AIR CORSICA;;385;12/04/2022;2022-048;385;;;0;0;0;0;385
12/04/2022;4772;HYDRO SYSTEMS KG;;40176;;;0;;;0;0;0;0;0
14/04/2022;4773;Airbus Transport International;;0;19/04/2022;2022-050;0;;;0;0;0;0;0
19/04/2022;4774;ROYAL AIR MAROC;;0;;;0;;;0;0;0;0;0
19/04/2022;4775;IGO SOLUTIONS;;5091;;;0;;;0;0;0;0;0
21/04/2022;4776;ROYAL AIR MAROC;;0;;;0;;;0;0;0;0;0
